,Density,Complexity,Calibre,Tortuosity,Branching Angle
Density,1.0,-0.24666852300189,0.4072732875037699,-0.009269993524529212,0.30436895656258184
Complexity,-0.24666852300189,1.0,-0.4854615192254531,0.0536475003315595,-0.1228249589055945
Calibre,0.4072732875037699,-0.4854615192254531,1.0,-0.4324796298465707,0.2125033096572986
Tortuosity,-0.009269993524529212,0.0536475003315595,-0.4324796298465707,1.0,-0.09281357435591392
Branching Angle,0.30436895656258184,-0.1228249589055945,0.2125033096572986,-0.09281357435591392,1.0
