outcome,model,n,r2,adj_r2,rmse,mae,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,condition_number,delta_r2_vs_age_sex,partial_f_for_octa_block,partial_f_p_for_octa_block
AL,Age+Sex,137,0.10672259239184345,0.09339009377082619,1.2353491475837466,0.9625825498174657,-0.19937246234160289,0.07978278163102295,1.4306493286207194,0.04809698115549349,2.6095778511794565,,,
AL,Age+Sex+OCTA,137,0.40966533809258643,0.387133480767876,1.0042588942453725,0.8037862114575226,0.22687057019888535,0.037679811870428834,1.1489411749635032,0.027833702553131428,3.500582818352757,0.302942745700743,22.408475648129617,8.949507801503387e-12
SE,Age+Sex,137,0.07029489091076857,0.05641869525272025,3.170508446315865,2.333106370540902,-0.2888701783956778,0.11409514900666048,3.7293636895799303,0.16697120116898073,2.6095778511794565,,,
SE,Age+Sex+OCTA,137,0.46627745166605883,0.44590636203499234,2.4022272059835545,1.91037705406675,0.2613266347704991,0.051892181990199716,2.8243922123144305,0.09828092601172991,3.500582818352757,0.39598256075529026,32.39742922664663,9.992007221626409e-16
