,Density,Complexity,Calibre,Tortuosity,Branching Angle
Density,0.0,0.003663550770992785,7.845115184146323e-07,0.9143838921513467,0.00029908691778124386
Complexity,0.003663550770992785,0.0,1.8256731681987048e-09,0.5335322706626027,0.15275238049693352
Calibre,7.845115184146323e-07,1.8256731681987048e-09,0.0,1.3088284100959413e-07,0.012665464704933793
Tortuosity,0.9143838921513467,0.5335322706626027,1.3088284100959413e-07,0.0,0.2807074072806808
Branching Angle,0.00029908691778124386,0.15275238049693352,0.012665464704933793,0.2807074072806808,0.0
