endpoint,definition,comparison,model_a,model_b,events,controls,cv_delta_auc_model_a_minus_b,cv_delta_auc_ci_95_low,cv_delta_auc_ci_95_high,cv_delta_auc_bootstrap_p,in_sample_delta_auc_model_a_minus_b,in_sample_delta_auc_ci_95_low,in_sample_delta_auc_ci_95_high,in_sample_delta_auc_bootstrap_p
Any myopia,SE <= -0.50 D,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 4 Clinical+OCTA+Cho,Model 5 Clinical+OCTA_nonflow,115,22,0.01699604743082994,-0.05287236620311838,0.08307170724387584,0.59,0.047826086956521685,-0.0034225393993458086,0.10000410509031205,0.075
High myopia,SE <= -6.00 D,Model 2 vs Model 1,Model 2 Clinical+OCTA,Model 1 Clinical,24,113,0.25737463126843657,0.12012532026834087,0.40035491469315,0.0,0.14564896755162238,0.007900475569170213,0.29063889744249755,0.041
High myopia,SE <= -6.00 D,Model 3 vs Model 1,Model 3 Clinical+Cho,Model 1 Clinical,24,113,0.19911504424778764,0.03222927749279631,0.3587760382608949,0.02,0.14638643067846602,-0.006199229691876731,0.31596293013252724,0.062
High myopia,SE <= -6.00 D,Model 5 vs Model 1,Model 5 Clinical+OCTA_nonflow,Model 1 Clinical,24,113,0.1382743362831858,0.005597880914818015,0.28206521739130425,0.038,0.055309734513274256,-0.07845571095571094,0.1902181522258933,0.449
High myopia,SE <= -6.00 D,Model 3 vs Model 2: Cho minus OCTA,Model 3 Clinical+Cho,Model 2 Clinical+OCTA,24,113,-0.05825958702064893,-0.22007203344066206,0.09146367521367517,0.48,0.0007374631268436405,-0.1459186677412714,0.13600620222920679,0.999
High myopia,SE <= -6.00 D,Model 3 vs Model 5: Cho minus OCTA_nonflow,Model 3 Clinical+Cho,Model 5 Clinical+OCTA_nonflow,24,113,0.06084070796460184,-0.07677206979217163,0.19801552487030813,0.391,0.09107669616519176,-0.04567023356374471,0.2205489679402723,0.175
High myopia,SE <= -6.00 D,Model 2 vs Model 5: OCTA flow contribution,Model 2 Clinical+OCTA,Model 5 Clinical+OCTA_nonflow,24,113,0.11910029498525077,0.023205357142857173,0.2230968726163234,0.019,0.09033923303834812,-0.0020865597345132683,0.18241198752228155,0.058
High myopia,SE <= -6.00 D,Model 4 vs Model 1,Model 4 Clinical+OCTA+Cho,Model 1 Clinical,24,113,0.26659292035398224,0.11195512820512825,0.41890671091445414,0.001,0.21607669616519165,0.0728895938792964,0.3619851296673886,0.005
High myopia,SE <= -6.00 D,Model 4 vs Model 2: add Cho beyond OCTA,Model 4 Clinical+OCTA+Cho,Model 2 Clinical+OCTA,24,113,0.009218289085545672,-0.09994786019098258,0.11305869414565049,0.883,0.07042772861356927,-0.02095856292632903,0.17114565805019472,0.15
High myopia,SE <= -6.00 D,Model 4 vs Model 3: add OCTA beyond Cho,Model 4 Clinical+OCTA+Cho,Model 3 Clinical+Cho,24,113,0.0674778761061946,-0.031241614828571393,0.16864228833295758,0.174,0.06969026548672563,-0.01961951447245558,0.15835392286971076,0.118
High myopia,SE <= -6.00 D,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 4 Clinical+OCTA+Cho,Model 5 Clinical+OCTA_nonflow,24,113,0.12831858407079644,-0.007359768907562995,0.2632867822645282,0.068,0.1607669616519174,0.03071906287690541,0.29057176539935153,0.021
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 2 vs Model 1,Model 2 Clinical+OCTA,Model 1 Clinical,91,46,0.024366937410415734,-0.0483874058816851,0.08850959829363665,0.473,0.026755852842809347,-0.03605625190502089,0.08963071348940903,0.396
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 3 vs Model 1,Model 3 Clinical+Cho,Model 1 Clinical,91,46,0.006211180124223614,-0.06635056157087402,0.08025946351869742,0.844,0.042522694696607743,-0.028847534988950794,0.11874498663101593,0.253
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 5 vs Model 1,Model 5 Clinical+OCTA_nonflow,Model 1 Clinical,91,46,0.03344481605351168,-0.03528381642512073,0.09651829780090641,0.304,0.0238891543239369,-0.039145391294347624,0.08041831387913843,0.442
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 3 vs Model 2: Cho minus OCTA,Model 3 Clinical+Cho,Model 2 Clinical+OCTA,91,46,-0.01815575728619212,-0.11685936291750852,0.08187236481580278,0.739,0.015766841853798397,-0.07119074096850682,0.10322989786355011,0.777
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 3 vs Model 5: Cho minus OCTA_nonflow,Model 3 Clinical+Cho,Model 5 Clinical+OCTA_nonflow,91,46,-0.02723363592928807,-0.11554335435093507,0.07491099724245785,0.609,0.018633540372670843,-0.06779186696397542,0.1075033197686871,0.703
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 2 vs Model 5: OCTA flow contribution,Model 2 Clinical+OCTA,Model 5 Clinical+OCTA_nonflow,91,46,-0.009077878643095949,-0.03299594096297154,0.014438733863409646,0.499,0.002866698518872446,-0.021269702025819917,0.029386318877305136,0.797
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 1,Model 4 Clinical+OCTA+Cho,Model 1 Clinical,91,46,0.05781175346392742,-0.034606939646413405,0.15276182345526557,0.222,0.09866220735785958,0.013143775948127132,0.18242639548993816,0.021
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 2: add Cho beyond OCTA,Model 4 Clinical+OCTA+Cho,Model 2 Clinical+OCTA,91,46,0.03344481605351168,-0.03812672062960078,0.10793930399237604,0.38,0.07190635451505023,0.008268707785282676,0.14071601104209802,0.026
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 3: add OCTA beyond Cho,Model 4 Clinical+OCTA+Cho,Model 3 Clinical+Cho,91,46,0.051600573339703804,-0.021455697663680814,0.12062140055193663,0.153,0.056139512661251834,-0.0022079914987218757,0.1177642584938348,0.065
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 4 Clinical+OCTA+Cho,Model 5 Clinical+OCTA_nonflow,91,46,0.024366937410415734,-0.05182952320743948,0.10145522314082354,0.526,0.07477305303392268,0.00602448006502907,0.14887805451127817,0.038
