outcome,model,term,estimate,std_error,t_value,p_value,ci_95_low,ci_95_high
AL,Age+Sex,Intercept,25.142632273221405,0.1503741345899606,167.20051185518176,0.0,24.845218436479325,25.440046109963486
AL,Age+Sex,Age_model_z,0.3631953860788035,0.10710957976784163,3.3908767718632067,0.0009158206851169748,0.15135130027608115,0.5750394718815258
AL,Age+Sex,Sex_2_vs_1,-0.453979726931386,0.2134415919624796,-2.126950622684589,0.03525657609806809,-0.8761300053618952,-0.03182944850087682
AL,Age+Sex+OCTA,Intercept,25.143260597983257,0.12382606112210204,203.05305983358434,0.0,24.89830311171042,25.388218084256096
AL,Age+Sex+OCTA,Age_model_z,0.12877611730835306,0.0947376253566154,1.3592922223204194,0.17638938492706657,-0.058637504287271325,0.31618973890397745
AL,Age+Sex+OCTA,CCFA_median_z,-0.46920697697277625,0.12325099488202883,-3.806922430296675,0.0002151747767324963,-0.7130268450468901,-0.2253871088986624
AL,Age+Sex+OCTA,CT_median_z,-0.44746768220494026,0.10780461954841694,-4.1507282719362015,5.929387846936862e-05,-0.6607309353026858,-0.23420442910719474
AL,Age+Sex+OCTA,CVI_median_z,0.048977804818060966,0.12697576395753835,0.38572561638171765,0.7003255604760199,-0.20221054499095925,0.3001661546270812
AL,Age+Sex+OCTA,Sex_2_vs_1,-0.4552456165250958,0.17603210477802647,-2.586151072266919,0.010797787978967355,-0.8034791103388254,-0.10701212271136629
SE,Age+Sex,Intercept,-3.3521739020953834,0.38593337337660494,-8.685887599630403,1.1324274851176597e-14,-4.1154828688650795,-2.588864935325687
SE,Age+Sex,Age_model_z,-0.8396735089389508,0.2748954236941854,-3.054519779394609,0.002720255763618784,-1.3833687587015782,-0.29597825917632337
SE,Age+Sex,Sex_2_vs_1,-0.48900257960194327,0.5477952297419383,-0.8926740377646375,0.37363205106051534,-1.5724460951427905,0.594440935938904
SE,Age+Sex+OCTA,Intercept,-3.3674235449314356,0.2961968617273879,-11.36886976213383,0.0,-3.953371591999642,-2.7814754978632292
SE,Age+Sex+OCTA,Age_model_z,-0.1719089235705681,0.22661616677335955,-0.7585907308303182,0.44946009635148076,-0.6202097582942836,0.2763919111531473
SE,Age+Sex+OCTA,CCFA_median_z,1.0745817693417559,0.2948212804155743,3.6448582267434917,0.0003845342457109435,0.49135495023842446,1.6578085884450873
SE,Age+Sex+OCTA,CT_median_z,1.3691759620288868,0.2578729364448515,5.309498472018594,4.570669100978364e-07,0.8590417809291792,1.8793101431285946
SE,Age+Sex+OCTA,CVI_median_z,0.08921852105491745,0.30373107614700146,0.2937418264429978,0.769420064342794,-0.5116339993409933,0.6900710414508282
SE,Age+Sex+OCTA,Sex_2_vs_1,-0.4582790344763718,0.42107579394860956,-1.088352835908451,0.2784376145463532,-1.291267398002535,0.37470932904979154
