endpoint,definition,comparison,model_a,model_b,events,controls,cv_delta_auc_model_a_minus_b,cv_delta_auc_ci_95_low,cv_delta_auc_ci_95_high,cv_delta_auc_bootstrap_p,in_sample_delta_auc_model_a_minus_b,in_sample_delta_auc_ci_95_low,in_sample_delta_auc_ci_95_high,in_sample_delta_auc_bootstrap_p,contrast
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 5 vs Model 1,Model 4 Clinical + OCTA_nonflow,Model 1 Clinical,91,46,0.028666985188724348,-0.037463016316473675,0.09001700680272103,0.375,0.029980888676540807,-0.03549875817134472,0.08801799789683311,0.351,Model 4 Clinical + OCTA_nonflow minus Model 1 Clinical
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 1,Model 5 Clinical + OCTA + Cho,Model 1 Clinical,91,46,0.05255613951266125,-0.039052198373577915,0.14638114742589378,0.259,0.10451505016722407,0.021844006833502724,0.1888001126528859,0.009,Model 5 Clinical + OCTA + Cho minus Model 1 Clinical
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 3: add OCTA beyond Cho,Model 5 Clinical + OCTA + Cho,Model 2 Clinical + Cho,91,46,0.04873387482083136,-0.023437329284359962,0.11691068242640495,0.174,0.05112279025322508,-0.00773556020031847,0.11093476565884085,0.089,Model 5 Clinical + OCTA + Cho minus Model 2 Clinical + Cho
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 2: add Cho beyond OCTA,Model 5 Clinical + OCTA + Cho,Model 3 Clinical + OCTA,91,46,0.030578117534639238,-0.039102548598724154,0.1033948244849779,0.416,0.07118967988533209,0.007267880023091472,0.13904141090326216,0.025,Model 5 Clinical + OCTA + Cho minus Model 3 Clinical + OCTA
Moderate myopia one-vs-rest,-6.00 D < SE <= -0.50 D,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 5 Clinical + OCTA + Cho,Model 4 Clinical + OCTA_nonflow,91,46,0.0238891543239369,-0.05094638602748063,0.099407404740762,0.529,0.07453416149068326,0.00618137262835346,0.14840154631862656,0.039,Model 5 Clinical + OCTA + Cho minus Model 4 Clinical + OCTA_nonflow
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 1,Model 2 Clinical + Cho,Model 1 Clinical,25,112,-0.015357142857142847,-0.1174110775680428,0.08075909877925065,0.753,0.00464285714285706,-0.08682381076777636,0.09563669481702264,0.905,Model 2 Clinical + Cho minus Model 1 Clinical
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 2: Cho minus OCTA,Model 2 Clinical + Cho,Model 3 Clinical + OCTA,25,112,-0.09464285714285714,-0.21200613595842346,0.0186975591151792,0.114,-0.056428571428571495,-0.16863096601169142,0.06073214285714277,0.346,Model 2 Clinical + Cho minus Model 3 Clinical + OCTA
AL >= 26mm,AL >= 26 mm,Model 3 vs Model 5: Cho minus OCTA_nonflow,Model 2 Clinical + Cho,Model 4 Clinical + OCTA_nonflow,25,112,-0.06785714285714284,-0.17980372376924106,0.04668764595235188,0.263,-0.02035714285714285,-0.13834642638990474,0.09189558629776014,0.732,Model 2 Clinical + Cho minus Model 4 Clinical + OCTA_nonflow
AL >= 26mm,AL >= 26 mm,Model 2 vs Model 1,Model 3 Clinical + OCTA,Model 1 Clinical,25,112,0.07928571428571429,-0.05822093121158542,0.1998239956261196,0.242,0.061071428571428554,-0.062333012256285916,0.1802085442781637,0.318,Model 3 Clinical + OCTA minus Model 1 Clinical
AL >= 26mm,AL >= 26 mm,Model 2 vs Model 5: OCTA flow contribution,Model 3 Clinical + OCTA,Model 4 Clinical + OCTA_nonflow,25,112,0.0267857142857143,-0.03505897771952815,0.08750617588932805,0.383,0.03607142857142864,-0.01564668856048172,0.09039352964679395,0.196,Model 3 Clinical + OCTA minus Model 4 Clinical + OCTA_nonflow
AL >= 26mm,AL >= 26 mm,Model 5 vs Model 1,Model 4 Clinical + OCTA_nonflow,Model 1 Clinical,25,112,0.05249999999999999,-0.07352232142857139,0.16765254976461866,0.386,0.02499999999999991,-0.09337227315168492,0.1432864901029485,0.632,Model 4 Clinical + OCTA_nonflow minus Model 1 Clinical
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 1,Model 5 Clinical + OCTA + Cho,Model 1 Clinical,25,112,0.026071428571428523,-0.10633351087614089,0.16573150762281186,0.693,0.06428571428571428,-0.045591349659698646,0.17290445866220203,0.259,Model 5 Clinical + OCTA + Cho minus Model 1 Clinical
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 3: add OCTA beyond Cho,Model 5 Clinical + OCTA + Cho,Model 2 Clinical + Cho,25,112,0.04142857142857137,-0.05576873152807725,0.14258190578723487,0.377,0.05964285714285722,-0.026558356425612994,0.1458648845433741,0.16,Model 5 Clinical + OCTA + Cho minus Model 2 Clinical + Cho
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 2: add Cho beyond OCTA,Model 5 Clinical + OCTA + Cho,Model 3 Clinical + OCTA,25,112,-0.05321428571428577,-0.12090522118045052,0.007480294816743374,0.092,0.003214285714285725,-0.05613156638342217,0.05884151108609304,0.898,Model 5 Clinical + OCTA + Cho minus Model 3 Clinical + OCTA
AL >= 26mm,AL >= 26 mm,Model 4 vs Model 5: add flow+Cho beyond OCTA_nonflow,Model 5 Clinical + OCTA + Cho,Model 4 Clinical + OCTA_nonflow,25,112,-0.026428571428571468,-0.12073103600944506,0.05993431855500819,0.588,0.03928571428571437,-0.03573051948051947,0.11644715007214998,0.297,Model 5 Clinical + OCTA + Cho minus Model 4 Clinical + OCTA_nonflow
