outcome,model,n,r2,adj_r2,rmse,mae,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,condition_number,delta_r2_vs_age_sex,partial_f_for_cho_block,partial_f_p_for_cho_block
AL,Age+Sex,137,0.10672259239184345,0.09339009377082619,1.2353491475837466,0.9625825498174657,-0.18401887127435376,0.10790739426443599,1.4207318233364798,0.06635827964701187,2.6095778511794565,,,
AL,Age+Sex+Cho,137,0.2967141034209414,0.25855130283138006,1.0961310975712488,0.8906740811752097,0.03566967488153026,0.07868268176089073,1.2825026078792192,0.05212198483914856,3.4806420467268135,0.18999151102909795,6.9698269343862815,8.5598770307449e-06
SE,Age+Sex,137,0.07029489091076857,0.05641869525272025,3.170508446315865,2.333106370540902,-0.26939022898064907,0.15305308187654146,3.697775183750972,0.22882488744688922,2.6095778511794565,,,
SE,Age+Sex+Cho,137,0.32987060362857545,0.2935069929727617,2.691755694044846,2.0464535375557578,0.07105717385271337,0.08289974046476585,3.166192307917041,0.13963563924673267,3.4806420467268135,0.2595757127178069,9.993672004813115,4.231097350260171e-08
