outcome,model,term,estimate,std_error,t_value,p_value,ci_95_low,ci_95_high
AL,Age+Sex,Intercept,25.140645793089384,0.1492567579719386,168.43891114006385,0.0,24.845500821227745,25.435790764951022
AL,Age+Sex,Age_model_z,0.36015907261449964,0.10516068582586224,3.424845224106797,0.0008119750731647724,0.15221105015470532,0.5681070950742939
AL,Age+Sex,Sex_2_vs_1,-0.4325410004579724,0.20959026560163918,-2.063745657348838,0.040929186662180594,-0.8469913334546151,-0.018090667461329757
AL,Age+Sex+OCTA,Intercept,25.13519682402339,0.12301066283210499,204.33348008481153,0.0,24.89188649786189,25.378507150184888
AL,Age+Sex+OCTA,Age_model_z,0.13636921867229335,0.09320551189865135,1.4631025128704491,0.1457985728968989,-0.047987673470162584,0.3207261108147493
AL,Age+Sex+OCTA,CCFA_median_z,-0.08184545592110037,0.2923735728147259,-0.27993452052851914,0.7799626492417844,-0.6601490576149487,0.49645814577274794
AL,Age+Sex+OCTA,CFA_median_z,-0.3997529168195202,0.2758028722009766,-1.4494153510055603,0.14957548286655253,-0.9452803145792521,0.14577448094021173
AL,Age+Sex+OCTA,CT_median_z,-0.4323998290536749,0.10604168180275485,-4.077640242050948,7.788938035058202e-05,-0.6421461680467231,-0.2226534900606268
AL,Age+Sex+OCTA,CVI_median_z,0.04074828215330051,0.12512897775275245,0.32565024413303156,0.7452007675589223,-0.20675198886654825,0.28824855317314924
AL,Age+Sex+OCTA,Sex_2_vs_1,-0.421796554412305,0.17299535441723946,-2.4381958453924346,0.01608070801935657,-0.7639746643305707,-0.07961844449403926
SE,Age+Sex,Intercept,-3.347547525149051,0.38399498653471786,-8.717685497298522,8.43769498715119e-15,-4.106871196892661,-2.5882238534054407
SE,Age+Sex,Age_model_z,-0.8399347576922125,0.2705483938306876,-3.104563829781424,0.0023158801578408994,-1.3749255960928597,-0.3049439192915653
SE,Age+Sex,Sex_2_vs_1,-0.4132865701286282,0.5392158607159383,-0.7664584821000836,0.4447222242402189,-1.4795488432799444,0.6529757030226881
SE,Age+Sex+OCTA,Intercept,-3.3533178452522625,0.2945209465443397,-11.385668437499149,0.0,-3.935868869002978,-2.770766821501547
SE,Age+Sex+OCTA,Age_model_z,-0.17037041511300788,0.22315931770083908,-0.763447463759508,0.4465487138594,-0.6117709012633654,0.27103007103734966
SE,Age+Sex+OCTA,CCFA_median_z,1.351370019974134,0.7000217658161364,1.9304685739287097,0.05567704017733499,-0.03324591688447076,2.7359859568327387
SE,Age+Sex+OCTA,CFA_median_z,-0.31241146996407987,0.6603470065936328,-0.473101970395291,0.636915968848152,-1.6185522699153916,0.9937293299872318
SE,Age+Sex+OCTA,CT_median_z,1.3913740709563842,0.2538925958014578,5.480167968523308,2.0570283276732937e-07,0.8891843512021087,1.8935637907106597
SE,Age+Sex+OCTA,CVI_median_z,0.08800992070066774,0.2995927679713945,0.2937651709572343,0.7693952802497741,-0.5045729693715383,0.6805928107728737
SE,Age+Sex+OCTA,Sex_2_vs_1,-0.4019084741504686,0.41419787811631126,-0.9703296307993358,0.33364353857312645,-1.2211758327649949,0.41735888446405767
