,Choriocapillaris Flow Area,Choroid Thickness,CVI
Choriocapillaris Flow Area,1.0,0.4960118878698823,0.6671045215148487
Choroid Thickness,0.4960118878698823,1.0,0.5496075621187121
CVI,0.6671045215148487,0.5496075621187121,1.0
