outcome,model,n,r2,adj_r2,rmse,mae,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,condition_number,delta_r2_vs_age_sex,partial_f_for_octa_block,partial_f_p_for_octa_block
AL,Age+Sex,140,0.10489059916762544,0.09182330864452515,1.226457459610922,0.9544875696668698,-0.20537999863424694,0.10990119794824686,1.4217309913618703,0.06606300373655126,2.6351384004444753,,,
AL,Age+Sex+OCTA,140,0.4115989519283082,0.3850545437446229,0.9943771790917043,0.7856492616038131,0.18989478547309538,0.07897195188110952,1.1654694993306869,0.05562619097310437,7.966935721329793,0.30670835276068276,17.331805853700914,1.819056016927334e-11
SE,Age+Sex,140,0.06931952010270392,0.055732943753838304,3.1553245701426995,2.3183604231734907,-0.2985751320805772,0.14641959976226313,3.7211984278831203,0.212745345365866,2.6351384004444753,,,
SE,Age+Sex+OCTA,140,0.47013933304854816,0.4462358443138962,2.3808091206524518,1.8930709861758244,0.2445429253790033,0.0679456563782667,2.8400496305403733,0.12663828912214384,7.966935721329793,0.40081981294584423,25.15238365800499,1.5543122344752192e-15
