Endpoint,Comparison,Delta CV AUC,95% CI,p,Interpretation
High myopia (SE <= -6.00D),Cho vs OCTA,-0.059,-0.222 to 0.090,0.469,NS; comparable within this sample
High myopia (SE <= -6.00D),Cho vs OCTA_nonflow,0.062,-0.078 to 0.200,0.387,NS; comparable within this sample
Moderate myopia (-6.00D < SE <= -0.50D),Cho vs OCTA,-0.018,-0.116 to 0.081,0.734,NS; comparable within this sample
Moderate myopia (-6.00D < SE <= -0.50D),Cho vs OCTA_nonflow,-0.025,-0.110 to 0.076,0.634,NS; comparable within this sample
Long axial length (AL >= 26mm),Cho vs OCTA,-0.095,-0.212 to 0.019,0.114,NS; comparable within this sample
Long axial length (AL >= 26mm),Cho vs OCTA_nonflow,-0.068,-0.180 to 0.047,0.263,NS; comparable within this sample
